NPROC, SIZE, NQBITS, TARGET, NREPEAT, TIME, BANDWIDTH
128,          256,            0,          100,     0.004096,   0.00054121,     0.756822
128,          256,            1,          100,     0.004096,  0.000509024,     0.804678
128,          256,            2,          100,     0.004096,  0.000480175,     0.853022
128,          256,            3,          100,     0.004096,  0.000533104,      0.76833
128,          256,            4,          100,     0.004096,  0.000550032,     0.744684
128,          256,            5,          100,     0.004096,  0.000522852,     0.783396
128,          256,            6,          100,     0.004096,  0.000607014,     0.674779
128,          256,            7,          100,     0.004096,  0.000645161,     0.634881
128,          512,            0,          100,     0.008192,  0.000482082,      1.69929
128,          512,            1,          100,     0.008192,  0.000550985,      1.48679
128,          512,            2,          100,     0.008192,  0.000527859,      1.55193
128,          512,            3,          100,     0.008192,  0.000510931,      1.60335
128,          512,            4,          100,     0.008192,  0.000555992,       1.4734
128,          512,            5,          100,     0.008192,  0.000573158,      1.42927
128,          512,            6,          100,     0.008192,  0.000611067,      1.34061
128,          512,            7,          100,     0.008192,  0.000674963,       1.2137
128,         1024,            0,          100,     0.016384,  0.000595093,      2.75318
128,         1024,            1,          100,     0.016384,  0.000592947,      2.76315
128,         1024,            2,          100,     0.016384,  0.000511885,      3.20072
128,         1024,            3,          100,     0.016384,  0.000545025,       3.0061
128,         1024,            4,          100,     0.016384,  0.000598907,      2.73565
128,         1024,            5,          100,     0.016384,  0.000609875,      2.68645
128,         1024,            6,          100,     0.016384,  0.000700951,       2.3374
128,         1024,            7,          100,     0.016384,  0.000836134,      1.95949
128,         2048,            0,          100,     0.032768,  0.000627995,      5.21788
128,         2048,            1,          100,     0.032768,  0.000577927,      5.66992
128,         2048,            2,          100,     0.032768,  0.000542879,      6.03597
128,         2048,            3,          100,     0.032768,  0.000570059,      5.74818
128,         2048,            4,          100,     0.032768,  0.000540018,      6.06794
128,         2048,            5,          100,     0.032768,  0.000681877,      4.80556
128,         2048,            6,          100,     0.032768,  0.000801802,       4.0868
128,         2048,            7,          100,     0.032768,  0.000872135,      3.75722
128,         4096,            0,          100,     0.065536,   0.00309992,      2.11412
128,         4096,            1,          100,     0.065536,  0.000589848,      11.1107
128,         4096,            2,          100,     0.065536,  0.000582218,      11.2563
128,         4096,            3,          100,     0.065536,  0.000574112,      11.4152
128,         4096,            4,          100,     0.065536,   0.00064683,      10.1319
128,         4096,            5,          100,     0.065536,  0.000792027,      8.27447
128,         4096,            6,          100,     0.065536,  0.000891209,      7.35361
128,         4096,            7,          100,     0.065536,   0.00133395,      4.91292
128,         8192,            0,          100,     0.131072,   0.00294995,      4.44319
128,         8192,            1,          100,     0.131072,   0.00264215,       4.9608
128,         8192,            2,          100,     0.131072,  0.000633001,      20.7064
128,         8192,            3,          100,     0.131072,  0.000664949,      19.7116
128,         8192,            4,          100,     0.131072,  0.000757933,      17.2934
128,         8192,            5,          100,     0.131072,   0.00087595,      14.9634
128,         8192,            6,          100,     0.131072,   0.00131583,      9.96115
128,         8192,            7,          100,     0.131072,   0.00314498,      4.16766
128,        16384,            0,          100,     0.262144,   0.00264502,      9.91087
128,        16384,            1,          100,     0.262144,   0.00250292,      10.4735
128,        16384,            2,          100,     0.262144,   0.00187492,      13.9816
128,        16384,            3,          100,     0.262144,  0.000780106,      33.6037
128,        16384,            4,          100,     0.262144,  0.000746012,      35.1394
128,        16384,            5,          100,     0.262144,   0.00111198,      23.5744
128,        16384,            6,          100,     0.262144,   0.00310087,      8.45388
128,        16384,            7,          100,     0.262144,   0.00552702,      4.74295
128,        32768,            0,          100,     0.524288,   0.00270295,      19.3969
128,        32768,            1,          100,     0.524288,   0.00229216,      22.8731
128,        32768,            2,          100,     0.524288,   0.00195003,      26.8862
128,        32768,            3,          100,     0.524288,     0.001966,      26.6678
128,        32768,            4,          100,     0.524288,   0.00122499,      42.7992
128,        32768,            5,          100,     0.524288,   0.00290608,       18.041
128,        32768,            6,          100,     0.524288,   0.00546098,      9.60063
128,        32768,            7,          100,     0.524288,     0.009866,      5.31409
128,        65536,            0,          100,      1.04858,   0.00244498,      42.8869
128,        65536,            1,          100,      1.04858,    0.0022471,      46.6636
128,        65536,            2,          100,      1.04858,   0.00193596,      54.1631
128,        65536,            3,          100,      1.04858,   0.00162697,      64.4497
128,        65536,            4,          100,      1.04858,   0.00240588,      43.5839
128,        65536,            5,          100,      1.04858,   0.00529289,       19.811
128,        65536,            6,          100,      1.04858,   0.00999308,       10.493
128,        65536,            7,          100,      1.04858,    0.0188801,      5.55386
128,       131072,            0,           10,      2.09715,  0.000594139,      35.2973
128, 
